Products,Current Price,Old Price,Discount,Review,Rating,Discount Status,Price Status,Rating Status,Discount Amount,Compared Discount,Rating Category,Discount Category,Price Category,Engagement Flag
Foldable Overbed Table/Desk,"KES 1,650.00","KES 2,150.00",23%,14,4.4,OK,OK,OK,KES 500.00,0.23255814,Average,Medium Discount,Medium Price,
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,"KES 2,048.00","KES 4,500.00",54%,7,4.3,OK,OK,OK,"KES 2,452.00",0.544888889,Average,High Discount,High Price,
Electronic Digital Display Vernier Caliper,KES 420.00,KES 647.00,35%,49,4.6,OK,OK,OK,KES 227.00,0.350850077,Excellent,Medium Discount,Low Price,
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,"KES 2,880.00","KES 3,520.00",18%,12,3.8,OK,OK,OK,KES 640.00,0.181818182,Average,Low Discount,High Price,
12 Litre Black Insulated Lunch Box,"KES 1,350.00","KES 1,990.00",32%,13,3.8,OK,OK,OK,KES 640.00,0.32160804,Average,Medium Discount,Medium Price,
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,"KES 1,758.00","KES 2,499.00",30%,20,4.1,OK,OK,OK,KES 741.00,0.296518607,Average,Medium Discount,High Price,
MultiFunctional Storage Rack Multi-layer Bookshelf,"KES 2,200.00","KES 4,080.00",46%,,,OK,OK,OK,"KES 1,880.00",0.460784314,Missing,High Discount,High Price,
Exfoliate And Exfoliate Face Towel - Black,KES 185.00,KES 382.00,52%,9,4.3,OK,OK,OK,KES 197.00,0.515706806,Average,High Discount,Low Price,
12 Litre Insulated Lunch Box Grey,KES 980.00,"KES 1,490.00",34%,12,4.7,OK,OK,OK,KES 510.00,0.342281879,Excellent,Medium Discount,Medium Price,
"LED Eye Protection Desk Lamp , Study, Reading, USB Fan - Double Pen Holder","KES 1,820.00","KES 3,490.00",48%,9,4.3,OK,OK,OK,"KES 1,670.00",0.478510029,Average,High Discount,High Price,
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,"KES 1,940.00","KES 2,650.00",27%,20,4.7,OK,OK,OK,KES 710.00,0.267924528,Excellent,Medium Discount,High Price,
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,"KES 1,980.00","KES 2,699.00",27%,32,4.5,OK,OK,OK,KES 719.00,0.266394961,Average,Medium Discount,High Price,
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack","KES 1,620.00","KES 2,690.00",40%,1,5.0,OK,OK,OK,"KES 1,070.00",0.397769517,Excellent,Medium Discount,Medium Price,
Classic Black Cat Cotton Hemp Pillow Case For Home Car,KES 171.00,KES 360.00,53%,2,5.0,OK,OK,OK,KES 189.00,0.525,Excellent,High Discount,Low Price,
Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,KES 389.00,KES 656.00,41%,36,4.3,OK,OK,OK,KES 267.00,0.407012195,Average,High Discount,Low Price,
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey","KES 1,800.00","KES 2,700.00",38%,2,4.5,OK,OK,OK,KES 900.00,0.333333333,Average,Medium Discount,High Price,
LASA Stainless Steel Double Wall Mount Soap Dispenser - 500ml,"KES 2,750.00","KES 4,471.00",38%,,,OK,OK,OK,"KES 1,721.00",0.384925073,Missing,Medium Discount,High Price,
4M Float Switch Water Level Controller -Water Tank,KES 475.00,KES 931.00,49%,,,OK,OK,OK,KES 456.00,0.489795918,Missing,High Discount,Low Price,
Modern Sofa Throw Pillow Cover-45x45cm-Blue&Red,KES 238.00,KES 476.00,50%,,,OK,OK,OK,KES 238.00,0.5,Missing,High Discount,Low Price,
"Balloon Insert, Birthday Party Balloon Set, PU Leather",KES 610.00,"KES 1,060.00",42%,,,OK,OK,OK,KES 450.00,0.424528302,Missing,High Discount,Medium Price,
Shower Cap Wide Elastic Band Cover Reusable Bashroom Cap,"KES 2,132.00","KES 2,169.00",2%,,,OK,OK,OK,KES 37.00,0.017058552,Missing,Low Discount,High Price,
Christmas Elk Fence Yard Lawn Decorations Cute For Holidays,KES 999.00,"KES 2,000.00",50%,,,OK,OK,OK,"KES 1,001.00",0.5005,Missing,High Discount,Medium Price,
60W Hot Melt Glue Sprayer - Efficient And Stable Glue Dispensing,"KES 1,190.00","KES 1,785.00",33%,,,OK,OK,OK,KES 595.00,0.333333333,Missing,Medium Discount,Medium Price,
Car Phone Charging Stand,KES 671.00,"KES 1,316.00",49%,,,OK,OK,OK,KES 645.00,0.490121581,Missing,High Discount,Medium Price,
2pcs Solar Street Light Flood Light Outdoor,"KES 1,200.00","KES 1,950.00",38%,,,OK,OK,OK,KES 750.00,0.384615385,Missing,Medium Discount,Medium Price,
Creative Owl Shape Keychain Black,KES 199.00,KES 504.00,61%,,,OK,OK,OK,KES 305.00,0.60515873,Missing,High Discount,Low Price,
Brush & Paintbrush Cleaning Tool Pink,KES 299.00,KES 600.00,50%,,,OK,OK,OK,KES 301.00,0.501666667,Missing,High Discount,Low Price,
Pen Grips For Kids Pen Grip Posture Correction Tool For Kids,"KES 1,660.00","KES 1,699.00",2%,,,OK,OK,OK,KES 39.00,0.022954679,Missing,Low Discount,Medium Price,
Pilates Cloth Bag Waterproof Durable High Capacity Purple,KES 299.00,KES 384.00,22%,,,OK,OK,OK,KES 85.00,0.221354167,Missing,Medium Discount,Low Price,
Multi-purpose Rice Drainage Basket And Fruit And Vegetable Drainage Sieve,"KES 1,459.00","KES 1,499.00",3%,,,OK,OK,OK,KES 40.00,0.026684456,Missing,Low Discount,Medium Price,
Cute Christmas Fence Garden Decorations For Holiday Home,KES 799.00,"KES 1,343.00",41%,,,OK,OK,OK,KES 544.00,0.405063291,Missing,High Discount,Medium Price,
Simple Metal Dog Art Sculpture Decoration For Home Office,KES 499.00,KES 900.00,45%,,,OK,OK,OK,KES 401.00,0.445555556,Missing,High Discount,Medium Price,
Christmas Fence Garden Decorations Outdoor For Holiday Home,KES 699.00,"KES 1,343.00",48%,,,OK,OK,OK,KES 644.00,0.479523455,Missing,High Discount,Medium Price,
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,KES 799.00,"KES 1,567.00",49%,,,OK,OK,OK,KES 768.00,0.490108488,Missing,High Discount,Medium Price,
12V 19500rpm Handheld Electric Angle Grinder Tool - UK - Yellow/Black,"KES 2,799.00","KES 3,810.00",27%,,,OK,OK,OK,"KES 1,011.00",0.265354331,Missing,Medium Discount,High Price,
Simple Metal Dog Art Sculpture Decoration For Home Office,KES 399.00,KES 896.00,55%,,,OK,OK,OK,KES 497.00,0.5546875,Missing,High Discount,Low Price,
5 Pieces/set Of Stainless Steel Induction Cooker Pots,"KES 2,170.00","KES 2,500.00",13%,6,2.5,OK,OK,OK,KES 330.00,0.132,Poor,Low Discount,High Price,
Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,KES 458.00,KES 986.00,54%,10,3.0,OK,OK,OK,KES 528.00,0.535496957,Average,High Discount,Low Price,
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,"KES 2,115.00","KES 4,700.00",55%,13,2.1,OK,OK,OK,"KES 2,585.00",0.55,Poor,High Discount,High Price,
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,KES 445.00,KES 873.00,49%,69,2.8,OK,OK,OK,KES 428.00,0.490263459,Poor,High Discount,Low Price,
Intelligent LED Body Sensor Wireless Lighting Night Light USB,KES 325.00,KES 680.00,52%,15,2.7,OK,OK,OK,KES 355.00,0.522058824,Poor,High Discount,Low Price,
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,"KES 1,220.00","KES 1,555.00",22%,16,2.9,OK,OK,OK,KES 335.00,0.215434084,Poor,Medium Discount,Medium Price,
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),KES 990.00,"KES 1,814.00",45%,6,2.2,OK,OK,OK,KES 824.00,0.454244763,Poor,High Discount,Medium Price,
380ML USB Rechargeable Portable Small Blenders And Juicers,"KES 1,000.00","KES 2,000.00",50%,7,2.3,OK,OK,OK,"KES 1,000.00",0.5,Poor,High Discount,Medium Price,
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,"KES 3,750.00","KES 6,143.00",39%,5,3.0,OK,OK,OK,"KES 2,393.00",0.38954908,Average,Medium Discount,High Price,
Agapeon Toothbrush Holder And Toothpaste Dispenser,KES 382.00,KES 700.00,45%,17,2.6,OK,OK,OK,KES 318.00,0.454285714,Poor,High Discount,Low Price,
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,"KES 2,300.00","KES 3,240.00",29%,5,3.0,OK,OK,OK,KES 940.00,0.290123457,Average,Medium Discount,High Price,
Watercolour Gold Foil Textured Print Pillow Cover,KES 345.00,KES 602.00,43%,6,2.3,OK,OK,OK,KES 257.00,0.426910299,Poor,High Discount,Low Price,
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,KES 509.00,KES 899.00,43%,5,3.0,OK,OK,OK,KES 390.00,0.43381535,Average,High Discount,Medium Price,
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",KES 968.00,"KES 1,814.00",47%,6,2.2,OK,OK,OK,KES 846.00,0.466372657,Poor,High Discount,Medium Price,
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB","KES 1,570.00","KES 2,988.00",47%,7,2.1,OK,OK,OK,"KES 1,418.00",0.474564926,Poor,High Discount,Medium Price,
2PCS/LOT Solar LED Outdoor Intelligent Light Controlled Wall Lamp,KES 790.00,"KES 1,485.00",47%,,,OK,OK,OK,KES 695.00,0.468013468,Missing,High Discount,Medium Price,
3PCS Rotary Scraper Thermomix For Kitchen,KES 690.00,"KES 1,200.00",43%,,,OK,OK,OK,KES 510.00,0.425,Missing,High Discount,Medium Price,
Cushion Silicone Butt Cushion Summer Ice Cushion Honeycomb Gel Cushion,"KES 1,732.00","KES 1,799.00",4%,,,OK,OK,OK,KES 67.00,0.037242913,Missing,Low Discount,High Price,
7PCS Silicone Thumb Knife Finger Protector Vegetable Harvesting Knife,KES 230.00,KES 450.00,49%,,,OK,OK,OK,KES 220.00,0.488888889,Missing,High Discount,Low Price,
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm","KES 1,189.00","KES 2,199.00",46%,1,3.0,OK,OK,OK,"KES 1,010.00",0.459299682,Average,High Discount,Medium Price,
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,KES 979.00,"KES 1,920.00",49%,1,5.0,OK,OK,OK,KES 941.00,0.490104167,Excellent,High Discount,Medium Price,
5m Waterproof Spherical LED String Lights Outdoor Ball Chain Lights Party Lighting Decoration Adjustable,"KES 1,460.00","KES 2,290.00",36%,,,OK,OK,OK,KES 830.00,0.362445415,Missing,Medium Discount,Medium Price,
2 Pairs Cowhide Split Leather Work Gloves.32℉ Or Above Welding Gloves,"KES 1,666.00","KES 1,699.00",2%,,,OK,OK,OK,KES 33.00,0.01942319,Missing,Low Discount,Medium Price,
Household Pineapple Peeler Peeler,KES 330.00,KES 647.00,49%,1,4.0,OK,OK,OK,KES 317.00,0.489953632,Average,High Discount,Low Price,
Creative Owl Shape Keychain Black,KES 176.00,KES 345.00,49%,,,OK,OK,OK,KES 169.00,0.489855072,Missing,High Discount,Low Price,
Office Chair Lumbar Back Support Spine Posture Correction Pillow Car Cushion,"KES 1,466.00","KES 1,699.00",14%,,,OK,OK,OK,KES 233.00,0.137139494,Missing,Low Discount,Medium Price,
Cartoon Car Decoration Cute Individuality For Car Home Desk,KES 274.00,KES 537.00,49%,,,OK,OK,OK,KES 263.00,0.489757914,Missing,High Discount,Low Price,
Outdoor Portable Water Bottle With Medicine Box - 600ML - Black,KES 799.00,KES 900.00,11%,,,OK,OK,OK,KES 101.00,0.112222222,Missing,Low Discount,Medium Price,
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,KES 657.00,"KES 1,288.00",49%,,,OK,OK,OK,KES 631.00,0.489906832,Missing,High Discount,Medium Price,
Wall-Mounted Toothbrush Toothpaste Holder With Multiple Slots,"KES 1,468.00","KES 1,699.00",14%,,,OK,OK,OK,KES 231.00,0.135962331,Missing,Low Discount,Medium Price,
Multifunctional Hanging Storage Box Storage Bag (4 Layers),KES 630.00,"KES 1,100.00",43%,,,OK,OK,OK,KES 470.00,0.427272727,Missing,High Discount,Medium Price,
Wall Clock With Hidden Safe Box,KES 850.00,"KES 1,700.00",50%,,,OK,OK,OK,KES 850.00,0.5,Missing,High Discount,Medium Price,
Portable Wine Table With Folding Round Table,"KES 1,300.00","KES 2,500.00",48%,,,OK,OK,OK,"KES 1,200.00",0.48,Missing,High Discount,Medium Price,
Sewing Machine Needle Threader Stitch Insertion Tool Automatic Quick Sewing,KES 105.00,KES 200.00,48%,,,OK,OK,OK,KES 95.00,0.475,Missing,High Discount,Low Price,
6 Layers Steel Pipe Assembling Dustproof Storage Shoe Cabinet,KES 899.00,"KES 1,699.00",47%,,,OK,OK,OK,KES 800.00,0.470865215,Missing,High Discount,Medium Price,
2PCS Ice Silk Square Cushion Cover Pillowcases - 65x65cm,"KES 1,200.00","KES 2,400.00",50%,,,OK,OK,OK,"KES 1,200.00",0.5,Missing,High Discount,Medium Price,
Wall Mount Automatic Toothpaste Dispenser Toothbrush Holder Toothpaste Squeezer,"KES 1,526.00","KES 1,660.00",8%,,,OK,OK,OK,KES 134.00,0.080722892,Missing,Low Discount,Medium Price,
Portable Soap Dispenser Kitchen Detergent Press Box Kitchen Tools,"KES 1,462.00","KES 1,499.00",2%,,,OK,OK,OK,KES 37.00,0.024683122,Missing,Low Discount,Medium Price,
4 Piece Coloured Stainless Steel Kitchenware Set,KES 248.00,KES 486.00,49%,,,OK,OK,OK,KES 238.00,0.489711934,Missing,High Discount,Low Price,
Metal Wall Clock Silver Dial Crystal Jewelry Round Home Decoration Wall Clock,"KES 3,546.00","KES 3,699.00",4%,,,OK,OK,OK,KES 153.00,0.04136253,Missing,Low Discount,High Price,
Baby Early Education Shape And Color Cognitive Training Toys,KES 525.00,"KES 1,029.00",49%,,,OK,OK,OK,KES 504.00,0.489795918,Missing,High Discount,Medium Price,
8in1 Screwdriver With LED Light,"KES 1,080.00","KES 1,874.00",42%,,,OK,OK,OK,KES 794.00,0.423692636,Missing,High Discount,Medium Price,
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White","KES 3,640.00","KES 4,588.00",21%,1,5.0,OK,OK,OK,KES 948.00,0.206625981,Excellent,Medium Discount,High Price,
"9pcs Gas Mask, For Painting, Dust, Formaldehyde Grinding, Polishing","KES 1,420.00","KES 2,420.00",41%,,,OK,OK,OK,"KES 1,000.00",0.41322314,Missing,High Discount,Medium Price,
24 Grid Wall-mounted Sundries Organiser Fabric Closet Bag Storage Rack,"KES 1,875.00","KES 1,899.00",1%,,,OK,OK,OK,KES 24.00,0.012638231,Missing,Low Discount,High Price,
1PC Refrigerator Food Seal Pocket Fridge Bags,KES 198.00,KES 260.00,24%,,,OK,OK,OK,KES 62.00,0.238461538,Missing,Medium Discount,Low Price,
LED Solar Street Light-fake Camera,"KES 1,150.00","KES 1,737.00",34%,,,OK,OK,OK,KES 587.00,0.337938975,Missing,Medium Discount,Medium Price,
Cartoon Embroidered Mini Towel Bear Cotton Wash Cloth Hand 4pcs,"KES 1,190.00","KES 1,810.00",34%,,,OK,OK,OK,KES 620.00,0.342541436,Missing,Medium Discount,Medium Price,
Shower Nozzle Cleaning Unclogging Needle Mini Crevice Small Hole Cleaning Brush,"KES 1,658.00","KES 1,699.00",2%,,,OK,OK,OK,KES 41.00,0.024131842,Missing,Low Discount,Medium Price,
Thickening Multipurpose Non Stick Easy To Clean Heat Resistant Spoon Pad,"KES 1,768.00","KES 1,799.00",2%,,,OK,OK,OK,KES 31.00,0.017231795,Missing,Low Discount,High Price,
6 In 1 Bottle Can Opener Multifunctional Easy Opener,KES 199.00,KES 553.00,64%,,,OK,OK,OK,KES 354.00,0.640144665,Missing,High Discount,Low Price,
Wall-mounted Sticker Punch-free Plug Fixer,KES 450.00,KES 900.00,50%,1,2.0,OK,OK,OK,KES 450.00,0.5,Poor,High Discount,Low Price,
Black Simple Water Cup Wine Coaster Anti Slip Absorbent,KES 169.00,KES 320.00,47%,,,OK,OK,OK,KES 151.00,0.471875,Missing,High Discount,Low Price,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
